location,population,MaxDeathCount,PerCapitaDeaths
Peru,34049588,221364,0.650122403830554425504
Bulgaria,6781955,38397,0.566164181272214280395
Bosnia and Herzegovina,3233530,16352,0.505701199617755208703
Hungary,9967304,48801,0.489610831574917349766
North Macedonia,2093606,9941,0.474826686587638743870
Georgia,3744385,17122,0.457271354307850287830
Croatia,4030361,18290,0.453805502782505090735
Slovenia,2119843,9431,0.444891437714962853381
Montenegro,627082,2654,0.423230135771717255478
Czechia,10493990,42815,0.407995433576742497372
Latvia,1850654,7374,0.398453735814474234513
Slovakia,5643455,21167,0.375071653800730226430
San Marino,33690,125,0.371029979222321163550
Moldova,3272993,12125,0.370456032139390460046
Greece,10384972,37311,0.359278773211906589637
Lithuania,2750058,9695,0.352538019198140548308
Romania,19659270,68262,0.347225507356071715785
Gibraltar,32677,113,0.345808978792422805031
United Kingdom,67508936,228707,0.338780335687708068751
United States,338289856,1127152,0.333191190929473214827
Chile,19603736,64497,0.329003614413089423362
Brazil,215313504,704659,0.327271158988708854972
Italy,59037472,191167,0.323806209046349410083
Armenia,2780472,8751,0.314730736364185649055
South America,436816679,1356082,0.310446479082361230075
Martinique,367512,1104,0.300398354339450140403
Poland,39857144,119636,0.300161998561663123679
Belgium,11655923,34376,0.294923018966408752013
Paraguay,6780745,19961,0.294377682688259180960
Trinidad and Tobago,1531043,4390,0.286732639122480557371
Argentina,45510324,130472,0.286686598847329674031
Europe,744807803,2075405,0.278649739119341637724
Ukraine,39701744,109904,0.276824111303523593321
Russia,144713312,399938,0.276365729228835561444
European Union,450146793,1243032,0.276139254867467199749
Colombia,51874028,142961,0.275592633754988141657
Aruba,106459,292,0.274283996655989629810
North America,600323657,1602820,0.266992643270095217986
Portugal,10270857,27094,0.263794929673346635047
Serbia,6871547,18057,0.262779254802448415182
Mexico,127504120,334336,0.262215840554799327268
Guadeloupe,395762,1021,0.257983333417559038007
Bermuda,64207,165,0.256981326023642281994
Spain,47558632,121852,0.256214266213544577985
Austria,8939617,22534,0.252068964475771165587
France,67813000,167985,0.247717989176116673794
Guam,171783,416,0.242165988485472951339
Tunisia,12356116,29423,0.238124990085881356244
Sweden,10549349,24676,0.233910168295692938019
High income,1250514600,2899122,0.231834318447781417346
Suriname,618046,1408,0.227814758124799772185
Saint Lucia,179872,409,0.227383917452410603095
Uruguay,3422796,7634,0.223034034163882393224
Liechtenstein,39355,87,0.221064667767755050184
Barbados,281646,620,0.220134495075378311781
Estonia,1326064,2901,0.218767721618262768614
French Polynesia,306292,649,0.211889308241808470348
Germany,83369840,174979,0.209882854519092276055
Sint Maarten (Dutch part),44192,92,0.208182476466328747284
